name,lat,lon
La Plata,-34.9214,-57.9545
La Paz,-30.7418,-59.6452
Jardín América,-27.0435,-55.227
Hurlingham,-34.5904,-58.629
Gualeguaychú,-33.0094,-58.5172
Gualeguay,-33.1416,-59.3097
Goya,-29.14,-59.2634
Gobernador Virasora,-28.05,-56.0333
General Pacheco,-34.4526,-58.6431
General José de San Martín,-26.5374,-59.3416
Garupá,-27.4817,-55.8292
Formosa,-26.1849,-58.1731
Fontana,-27.4181,-59.0239
Federal,-30.9546,-58.7833
Esquina,-30.0148,-59.5289
El Soberbio,-27.2985,-54.1988
Don Torcuato,-34.4946,-58.6273
Dolores,-36.3132,-57.6792
Curuzú Cuatiá,-29.7917,-58.0546
Corrientes,-27.4678,-58.8344
Concordia,-31.393,-58.0209
Concepción del Uruguay,-32.4846,-58.2322
Colegiales,-34.5736,-58.4492
Chajarí,-30.7505,-57.9796
Campana,-34.1633,-58.9592
Buenos Aires,-34.6132,-58.3772
Boedo,-34.6333,-58.4167
Berazategui,-34.7653,-58.2128
Bella Vista,-34.5651,-58.6903
Belgrano,-34.5627,-58.4583
Barranqueras,-27.4813,-58.9392
Barracas,-34.6497,-58.3834
Balcarce,-37.8462,-58.2552
Azul,-36.777,-59.8585
Avellaneda,-29.1176,-59.6583
Aristóbulo del Valle,-27.0962,-54.8963
Zapala,-38.8992,-70.0544
Yerba Buena,-26.8167,-65.3167
Villa Regina,-39.1,-67.0667
Villa Paula de Sarmiento,-31.4933,-68.5384
Villa Nueva,-32.4329,-63.2476
Villa María,-32.4075,-63.2402
Villa Dolores,-31.9458,-65.1896
Villa Constitución,-33.2278,-60.3297
Villa Carlos Paz,-31.4241,-64.4978
Villa Ángela,-27.5738,-60.7153
Villa Allende,-31.2946,-64.2954
Viedma,-40.8135,-62.9967
Victoria,-32.6184,-60.1548
Vera,-29.4593,-60.2126
Venado Tuerto,-33.7456,-61.9688
Veinticinco de Mayo,-35.4323,-60.1727
Ushuaia,-54.8108,-68.3159
Unquillo,-31.2307,-64.3161
Tres Isletas,-26.3407,-60.4321
Tres Arroyos,-38.3739,-60.2798
Trelew,-43.249,-65.305
Termas de Río Hondo,-27.4936,-64.8597
Tartagal,-22.5164,-63.8013
Tafí Viejo,-26.732,-65.2592
Sunchales,-30.944,-61.5615
Santo Tomé,-31.6627,-60.7653
Santiago del Estero,-27.7951,-64.2615
Santa Rosa,-36.6167,-64.2833
Santa Lucía,-31.5399,-68.495
Santa Fe,-31.6488,-60.7087
San Salvador de Jujuy,-24.1946,-65.2971
San Ramón de la Nueva Orán,-23.137,-64.3243
San Rafael,-34.6177,-68.3301
San Pedro de Jujuy,-24.2313,-64.8661
San Nicolás de los Arroyos,-33.3342,-60.2108
San Miguel de Tucumán,-26.8241,-65.2226
San Martín de los Andes,-40.1579,-71.3534
San Martín,-33.081,-68.4681
San Luis,-33.295,-66.3356
San Justo,-30.7891,-60.5919
San Juan,-31.5375,-68.5364
San José de Jáchal,-30.2406,-68.7469
San Jorge,-31.8962,-61.8598
San Francisco,-31.428,-62.0827
Catamarca,-28.4696,-65.7852
San Antonio Oeste,-40.7319,-64.9477
Salta,-24.7859,-65.4117
Rufino,-34.2683,-62.7126
Rosario,-32.9468,-60.6393
Río Tercero,-32.173,-64.1141
Río Segundo,-31.6526,-63.9099
Río Grande,-53.7877,-67.7095
Río Gallegos,-51.6226,-69.2181
Río Cuarto,-33.1307,-64.3499
Río Ceballos,-31.1649,-64.3224
Rawson,-43.3002,-65.1023
Rafaela,-31.2503,-61.4867
Quitilipi,-26.8691,-60.2168
Punta Alta,-38.8759,-62.0736
Puerto Madryn,-42.7692,-65.0385
Presidencia Roque Sáenz Peña,-26.7852,-60.4388
Pocito,-31.6833,-68.5833
Plottier,-38.9667,-68.2333
Pergamino,-33.89,-60.5736
